"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
".@ArenaSummit has made it easy to support candidates who are on the ballot in this fall's midterm elections. Downlo… https://t.co/4eG0tsVuYh",FALSE,4050,NA,2018-09-24 18:46:47,TRUE,NA,"1044297109057548289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1617,FALSE,FALSE,NA,NA
"RT @colbertlateshow: Over the past few months, @HillaryClinton thinks these specific actions have put our democracy in crisis.

Degrading t…",FALSE,0,NA,2018-09-24 18:45:55,FALSE,NA,"1044296889955438594",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1236,TRUE,FALSE,NA,NA
"Donate your time or money to their campaigns if you can. Our government should represent us, and Congress is only 2… https://t.co/hjk9vAM2ic",FALSE,8359,"HillaryClinton",2018-09-21 19:49:55,TRUE,"1043225830313349120","1043225832943169537","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2056,FALSE,FALSE,NA,NA
".@Deb4CongressNM is a lawyer, an enrolled member of the Pueblo of Laguna, and a candidate for Congress in the 1st d… https://t.co/8PkRGYkuSf",FALSE,6725,"HillaryClinton",2018-09-21 19:49:54,TRUE,"1043225828375633921","1043225830313349120","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1772,FALSE,FALSE,NA,NA
".@StaceyAbrams is the Democratic nominee for governor of Georgia. She’s served as Georgia’s House Minority Leader,… https://t.co/IBs76T122W",FALSE,4984,"HillaryClinton",2018-09-21 19:49:54,TRUE,"1043225826941186049","1043225828375633921","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1677,FALSE,FALSE,NA,NA
".@GinaOrtizJones is a veteran of the Iraq war, intelligence officer, and candidate for Congress in the 23rd distric… https://t.co/9HZKOa3t8f",FALSE,4495,"HillaryClinton",2018-09-21 19:49:53,TRUE,"1043225825569591296","1043225826941186049","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1483,FALSE,FALSE,NA,NA
".@LucyWins2018 is a businesswoman and activist running for Congress in the 6th district of Georgia. After her son,… https://t.co/NGyQ9pp1mm",FALSE,4685,"HillaryClinton",2018-09-21 19:49:53,TRUE,"1043225824441315329","1043225825569591296","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1555,FALSE,FALSE,NA,NA
"With a historic number of women running this year, we have a tremendous opportunity to make our government better r… https://t.co/cK84YC5Am2",FALSE,35165,NA,2018-09-21 19:49:53,TRUE,NA,"1043225824441315329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",7659,FALSE,FALSE,NA,NA
"A reported 211 families are still waiting to be reunited since the administration separated them at the border. It'… https://t.co/1AhaPGqUPI",FALSE,51559,NA,2018-09-20 14:07:00,TRUE,NA,"1042777146220011520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",16640,FALSE,FALSE,NA,NA
"RT @brianstelter: The ""authoritarian tendencies that we have seen at work in this admin, with this president, left unchecked, could very we…",FALSE,0,NA,2018-09-19 16:17:21,FALSE,NA,"1042447565407567873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4639,TRUE,FALSE,NA,NA
