text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"""Le propos d'Emmanuel Macron sur la ""lèpre"" est indigne. Il insulte ainsi des dizaines de millions d'Européens, mai… https://t.co/rj0b9yHyju",FALSE,316,NA,6/25/18 6:48,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,194,FALSE,FALSE,NA,NA
"""On ne peut plus accepter cette immigration massive, on ne peut plus accepter que nos lois ne soient pas respectées !"" #8h30Politique",FALSE,345,NA,6/25/18 6:46,FALSE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,159,FALSE,FALSE,NA,NA
"""@matteosalvinimi dit ""non"", il choque donc les bonnes âmes qui ne supportent pas que l'on change de politique. L'U… https://t.co/8rkEdm6Flu",FALSE,493,NA,6/25/18 6:45,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,287,FALSE,FALSE,NA,NA
"""Pourquoi ces bateaux de migrants devraient venir en Europe ? Pourquoi pas en Algérie ? Pourquoi pas en Tunisie ? C… https://t.co/kflACc5qtd",FALSE,1557,NA,6/25/18 6:43,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,744,FALSE,FALSE,NA,NA
"""Cette crise migratoire n'en est qu'à ses débuts ! Pauvreté, conflits, et déstabilisations actuellement en cours, v… https://t.co/DMj4NkaHb2",FALSE,258,NA,6/25/18 6:40,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,161,FALSE,FALSE,NA,NA
"""Il faut ramener les migrants du bateau #Lifeline au port de départ. L'objectif des ONG n'est pas de mettre en sécu… https://t.co/Xynv4SsrBy",FALSE,316,NA,6/25/18 6:39,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,177,FALSE,FALSE,NA,NA
"""Depuis des années, la façon dont l'Union européenne agit est la meilleure aide pour les passeurs de migrants, qui… https://t.co/Wq5B82LmhL",FALSE,186,NA,6/25/18 6:36,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,102,FALSE,FALSE,NA,NA
"""L'Union européenne, en réalité, souhaite qu'il y ait une immigration forte dans les pays européens. Elle est fonda… https://t.co/iMdf8t9w3E",FALSE,238,NA,6/25/18 6:35,TRUE,NA,1.01114E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,118,FALSE,FALSE,NA,NA
RT @GNation_off: 🎥 Notre combat n'est pas seulement électoral ou politique. C'est un combat de civilisation. Notre génération doit résister…,FALSE,0,NA,6/24/18 17:11,FALSE,NA,1.01093E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,553,TRUE,FALSE,NA,NA
🎙 Je serai ce lundi 25 juin l’invitée de @franceinfo. #8h30Politique https://t.co/5Gy86EiXv8,FALSE,429,NA,6/24/18 10:34,FALSE,NA,1.01083E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,197,FALSE,FALSE,NA,NA
